h3_cell,timestamp,u,v
8619529afffffff,2018-08-01T03:00:00,5.8772,1.4077
8619529afffffff,2018-08-01T04:00:00,6.0413,1.1578
8619529afffffff,2018-08-01T05:00:00,6.2199,0.926
8619529afffffff,2018-08-01T06:00:00,6.4144,0.7141
8619529afffffff,2018-08-01T07:00:00,6.6258,0.5242
8619529afffffff,2018-08-01T08:00:00,6.8551,0.3586
8619529afffffff,2018-08-01T09:00:00,7.1029,0.2197
8619529afffffff,2018-08-01T10:00:00,7.3691,0.1101
8619529afffffff,2018-08-01T11:00:00,7.6534,0.0324
8619529afffffff,2018-08-01T12:00:00,7.9546,-0.0114
8619529afffffff,2018-08-01T13:00:00,8.2709,-0.0194
8619529afffffff,2018-08-01T14:00:00,8.6001,0.0096
8619529afffffff,2018-08-01T15:00:00,8.9391,0.0762
8619529afffffff,2018-08-01T16:00:00,9.2845,0.18
8619529afffffff,2018-08-01T17:00:00,9.6327,0.3196
8619529afffffff,2018-08-01T18:00:00,9.9796,0.4929
8619529afffffff,2018-08-01T19:00:00,10.3213,0.6969
8619529afffffff,2018-08-01T20:00:00,10.6542,0.9276
8619529afffffff,2018-08-01T21:00:00,10.9746,1.1808
8619529afffffff,2018-08-01T22:00:00,11.2794,1.4518
8619529afffffff,2018-08-01T23:00:00,11.566,1.7357
8619529afffffff,2018-08-02T00:00:00,11.832,2.0281
8619529afffffff,2018-08-02T01:00:00,12.0754,2.3247
8619529afffffff,2018-08-02T02:00:00,12.2945,2.6221
8619529afffffff,2018-08-02T03:00:00,12.4877,2.9175
8619529afffffff,2018-08-02T04:00:00,12.6535,3.2092
8619529afffffff,2018-08-02T05:00:00,12.7903,3.4962
8619529afffffff,2018-08-02T06:00:00,12.8966,3.7786
8619529afffffff,2018-08-02T07:00:00,12.9706,4.057
8619529afffffff,2018-08-02T08:00:00,13.0104,4.3329
8619529afffffff,2018-08-02T09:00:00,13.0141,4.6077
8619529afffffff,2018-08-02T10:00:00,12.9798,4.8834
8619529afffffff,2018-08-02T11:00:00,12.9055,5.1614
8619529afffffff,2018-08-02T12:00:00,12.7894,5.4427
8619529afffffff,2018-08-02T13:00:00,12.63,5.7277
8619529afffffff,2018-08-02T14:00:00,12.4263,6.0156
8619529afffffff,2018-08-02T15:00:00,12.1776,6.3047
8619529afffffff,2018-08-02T16:00:00,11.8844,6.5921
8619529afffffff,2018-08-02T17:00:00,11.5478,6.8737
8619529afffffff,2018-08-02T18:00:00,11.1702,7.1443
8619529afffffff,2018-08-02T19:00:00,10.7552,7.3983
8619529afffffff,2018-08-02T20:00:00,10.3077,7.6293
8619529afffffff,2018-08-02T21:00:00,9.8339,7.831
8619529afffffff,2018-08-02T22:00:00,9.3411,7.9977
8619529afffffff,2018-08-02T23:00:00,8.838,8.124
8619529afffffff,2018-08-03T00:00:00,8.3334,8.2061
8619529afffffff,2018-08-03T01:00:00,7.8369,8.2411
8619529afffffff,2018-08-03T02:00:00,7.3577,8.228
8619529afffffff,2018-08-03T03:00:00,6.9044,8.167
8619529afffffff,2018-08-03T04:00:00,6.4848,8.0599
8619529afffffff,2018-08-03T05:00:00,6.1052,7.9096
8619529afffffff,2018-08-03T06:00:00,5.7702,7.7198
8619529afffffff,2018-08-03T07:00:00,5.4828,7.4949
8619529afffffff,2018-08-03T08:00:00,5.2443,7.2395
8619529afffffff,2018-08-03T09:00:00,5.0541,6.9583
8619529afffffff,2018-08-03T10:00:00,4.9102,6.6557
8619529afffffff,2018-08-03T11:00:00,4.8096,6.3359
8619529afffffff,2018-08-03T12:00:00,4.748,6.0026
8619529afffffff,2018-08-03T13:00:00,4.7209,5.6594
8619529afffffff,2018-08-03T14:00:00,4.7234,5.3094
8619529afffffff,2018-08-03T15:00:00,4.7505,4.9552
8619529afffffff,2018-08-03T16:00:00,4.7978,4.5997
8619529afffffff,2018-08-03T17:00:00,4.8614,4.2452
8619529afffffff,2018-08-03T18:00:00,4.9379,3.8939
8619529afffffff,2018-08-03T19:00:00,5.025,3.5479
8619529afffffff,2018-08-03T20:00:00,5.121,3.209
8619529afffffff,2018-08-03T21:00:00,5.2251,2.879
8619529afffffff,2018-08-03T22:00:00,5.337,2.5592
8619529afffffff,2018-08-03T23:00:00,5.4572,2.251
86195292fffffff,2018-08-01T00:00:00,5.6969,2.3159
86195292fffffff,2018-08-01T01:00:00,5.8283,2.0104
86195292fffffff,2018-08-01T02:00:00,5.9693,1.72
86195292fffffff,2018-08-01T03:00:00,6.1213,1.4463
86195292fffffff,2018-08-01T04:00:00,6.2859,1.1905
86195292fffffff,2018-08-01T05:00:00,6.4648,0.9545
86195292fffffff,2018-08-01T06:00:00,6.6594,0.74
86195292fffffff,2018-08-01T07:00:00,6.871,0.5492
86195292fffffff,2018-08-01T08:00:00,7.1005,0.3842
86195292fffffff,2018-08-01T09:00:00,7.3485,0.2473
86195292fffffff,2018-08-01T10:00:00,7.6151,0.141
86195292fffffff,2018-08-01T11:00:00,7.8996,0.0674
86195292fffffff,2018-08-01T12:00:00,8.2009,0.0284
86195292fffffff,2018-08-01T13:00:00,8.5173,0.0256
86195292fffffff,2018-08-01T14:00:00,8.8463,0.0597
86195292fffffff,2018-08-01T15:00:00,9.1849,0.131
86195292fffffff,2018-08-01T16:00:00,9.5297,0.2387
86195292fffffff,2018-08-01T17:00:00,9.877,0.3812
86195292fffffff,2018-08-01T18:00:00,10.223,0.5561
86195292fffffff,2018-08-01T19:00:00,10.5639,0.7601
86195292fffffff,2018-08-01T20:00:00,10.8961,0.9893
86195292fffffff,2018-08-01T21:00:00,11.216,1.2393
86195292fffffff,2018-08-01T22:00:00,11.5209,1.5057
86195292fffffff,2018-08-01T23:00:00,11.808,1.7837
86195292fffffff,2018-08-02T00:00:00,12.075,2.0691
86195292fffffff,2018-08-02T01:00:00,12.3199,2.3583
86195292fffffff,2018-08-02T02:00:00,12.5409,2.648
86195292fffffff,2018-08-02T03:00:00,12.7363,2.936
86195292fffffff,2018-08-02T04:00:00,12.9045,3.2212
86195292fffffff,2018-08-02T05:00:00,13.0438,3.5029
86195292fffffff,2018-08-02T06:00:00,13.1522,3.7817
86195292fffffff,2018-08-02T07:00:00,13.228,4.0587
86195292fffffff,2018-08-02T08:00:00,13.269,4.3355
86195292fffffff,2018-08-02T09:00:00,13.2731,4.6139
86195292fffffff,2018-08-02T10:00:00,13.2381,4.8959
86195292fffffff,2018-08-02T11:00:00,13.162,5.1829
86195292fffffff,2018-08-02T12:00:00,13.0429,5.4759
86195292fffffff,2018-08-02T13:00:00,12.879,5.7748
86195292fffffff,2018-08-02T14:00:00,12.6694,6.0787
86195292fffffff,2018-08-02T15:00:00,12.4134,6.3852
86195292fffffff,2018-08-02T16:00:00,12.1113,6.691
86195292fffffff,2018-08-02T17:00:00,11.7646,6.9913
86195292fffffff,2018-08-02T18:00:00,11.3756,7.2805
86195292fffffff,2018-08-02T19:00:00,10.9484,7.5522
86195292fffffff,2018-08-02T20:00:00,10.4881,7.7997
86195292fffffff,2018-08-02T21:00:00,10.0013,8.0162
86195292fffffff,2018-08-02T22:00:00,9.496,8.1955
86195292fffffff,2018-08-02T23:00:00,8.9809,8.3324
86195292fffffff,2018-08-03T00:00:00,8.4657,8.4227
86195292fffffff,2018-08-03T01:00:00,7.9602,8.4637
86195292fffffff,2018-08-03T02:00:00,7.4738,8.4544
86195292fffffff,2018-08-03T03:00:00,7.0156,8.3955
86195292fffffff,2018-08-03T04:00:00,6.5934,8.2887
86195292fffffff,2018-08-03T05:00:00,6.2134,8.1372
86195292fffffff,2018-08-03T06:00:00,5.8803,7.945
86195292fffffff,2018-08-03T07:00:00,5.597,7.7166
86195292fffffff,2018-08-03T08:00:00,5.3643,7.4567
86195292fffffff,2018-08-03T09:00:00,5.1816,7.1702
86195292fffffff,2018-08-03T10:00:00,5.0465,6.8613
86195292fffffff,2018-08-03T11:00:00,4.9555,6.5344
86195292fffffff,2018-08-03T12:00:00,4.9043,6.1932
86195292fffffff,2018-08-03T13:00:00,4.8878,5.8411
86195292fffffff,2018-08-03T14:00:00,4.9008,5.4812
86195292fffffff,2018-08-03T15:00:00,4.9383,5.1165
86195292fffffff,2018-08-03T16:00:00,4.9953,4.7496
86195292fffffff,2018-08-03T17:00:00,5.0679,4.3831
86195292fffffff,2018-08-03T18:00:00,5.1526,4.0194
86195292fffffff,2018-08-03T19:00:00,5.2468,3.6608
86195292fffffff,2018-08-03T20:00:00,5.3489,3.3093
86195292fffffff,2018-08-03T21:00:00,5.4579,2.9668
86195292fffffff,2018-08-03T22:00:00,5.5738,2.6352
86195292fffffff,2018-08-03T23:00:00,5.6969,2.3159
8619562dfffffff,2018-08-01T00:00:00,2.4685,1.0128
8619562dfffffff,2018-08-01T01:00:00,2.5346,0.8824
8619562dfffffff,2018-08-01T02:00:00,2.6221,0.7625
8619562dfffffff,2018-08-01T03:00:00,2.7318,0.651
8619562dfffffff,2018-08-01T04:00:00,2.8645,0.5465
8619562dfffffff,2018-08-01T05:00:00,3.0203,0.4482
8619562dfffffff,2018-08-01T06:00:00,3.1992,0.3558
8619562dfffffff,2018-08-01T07:00:00,3.4008,0.2699
8619562dfffffff,2018-08-01T08:00:00,3.6244,0.1918
8619562dfffffff,2018-08-01T09:00:00,3.8693,0.1234
8619562dfffffff,2018-08-01T10:00:00,4.1344,0.0671
8619562dfffffff,2018-08-01T11:00:00,4.4183,0.0256
8619562dfffffff,2018-08-01T12:00:00,4.7195,0.0016
8619562dfffffff,2018-08-01T13:00:00,5.0359,-0.002
8619562dfffffff,2018-08-01T14:00:00,5.365,0.0171
8619562dfffffff,2018-08-01T15:00:00,5.704,0.0607
8619562dfffffff,2018-08-01T16:00:00,6.0498,0.1299
8619562dfffffff,2018-08-01T17:00:00,6.3989,0.2251
8619562dfffffff,2018-08-01T18:00:00,6.7478,0.3458
8619562dfffffff,2018-08-01T19:00:00,7.0928,0.4906
8619562dfffffff,2018-08-01T20:00:00,7.4304,0.6573
8619562dfffffff,2018-08-01T21:00:00,7.7572,0.8432
8619562dfffffff,2018-08-01T22:00:00,8.07,1.0449
8619562dfffffff,2018-08-01T23:00:00,8.3663,1.2589
8619562dfffffff,2018-08-02T00:00:00,8.6434,1.4817
8619562dfffffff,2018-08-02T01:00:00,8.8993,1.71
8619562dfffffff,2018-08-02T02:00:00,9.132,1.9408
8619562dfffffff,2018-08-02T03:00:00,9.3398,2.1717
8619562dfffffff,2018-08-02T04:00:00,9.521,2.4009
8619562dfffffff,2018-08-02T05:00:00,9.674,2.6275
8619562dfffffff,2018-08-02T06:00:00,9.7973,2.851
8619562dfffffff,2018-08-02T07:00:00,9.8891,3.0716
8619562dfffffff,2018-08-02T08:00:00,9.9479,3.29
8619562dfffffff,2018-08-02T09:00:00,9.972,3.507
8619562dfffffff,2018-08-02T10:00:00,9.9597,3.7236
8619562dfffffff,2018-08-02T11:00:00,9.9095,3.9406
8619562dfffffff,2018-08-02T12:00:00,9.8202,4.1582
8619562dfffffff,2018-08-02T13:00:00,9.6907,4.3762
8619562dfffffff,2018-08-02T14:00:00,9.5205,4.5935
8619562dfffffff,2018-08-02T15:00:00,9.3096,4.808
8619562dfffffff,2018-08-02T16:00:00,9.0587,5.0169
8619562dfffffff,2018-08-02T17:00:00,8.7695,5.2164
8619562dfffffff,2018-08-02T18:00:00,8.4445,5.4019
8619562dfffffff,2018-08-02T19:00:00,8.0874,5.5684
8619562dfffffff,2018-08-02T20:00:00,7.7028,5.7108
8619562dfffffff,2018-08-02T21:00:00,7.2966,5.824
8619562dfffffff,2018-08-02T22:00:00,6.8753,5.9035
8619562dfffffff,2018-08-02T23:00:00,6.4463,5.9455
8619562dfffffff,2018-08-03T00:00:00,6.0172,5.9475
8619562dfffffff,2018-08-03T01:00:00,5.5957,5.9081
8619562dfffffff,2018-08-03T02:00:00,5.1891,5.8274
8619562dfffffff,2018-08-03T03:00:00,4.8038,5.7066
8619562dfffffff,2018-08-03T04:00:00,4.4455,5.5485
8619562dfffffff,2018-08-03T05:00:00,4.1181,5.3567
8619562dfffffff,2018-08-03T06:00:00,3.8244,5.1353
8619562dfffffff,2018-08-03T07:00:00,3.5653,4.8893
8619562dfffffff,2018-08-03T08:00:00,3.3407,4.6237
8619562dfffffff,2018-08-03T09:00:00,3.1489,4.3437
8619562dfffffff,2018-08-03T10:00:00,2.9873,4.0541
8619562dfffffff,2018-08-03T11:00:00,2.8528,3.7597
8619562dfffffff,2018-08-03T12:00:00,2.7416,3.4649
8619562dfffffff,2018-08-03T13:00:00,2.6504,3.1738
8619562dfffffff,2018-08-03T14:00:00,2.5757,2.89
8619562dfffffff,2018-08-03T15:00:00,2.5149,2.6169
8619562dfffffff,2018-08-03T16:00:00,2.4661,2.3572
8619562dfffffff,2018-08-03T17:00:00,2.4283,2.1131
8619562dfffffff,2018-08-03T18:00:00,2.4013,1.8861
8619562dfffffff,2018-08-03T19:00:00,2.3857,1.6771
8619562dfffffff,2018-08-03T20:00:00,2.3828,1.4862
8619562dfffffff,2018-08-03T21:00:00,2.3944,1.3128
8619562dfffffff,2018-08-03T22:00:00,2.4224,1.1555
8619562dfffffff,2018-08-03T23:00:00,2.4685,1.0128
86195625fffffff,2018-08-01T00:00:00,3.2115,1.2994
86195625fffffff,2018-08-01T01:00:00,3.2914,1.13
86195625fffffff,2018-08-01T02:00:00,3.3902,0.9724
86195625fffffff,2018-08-01T03:00:00,3.5087,0.8255
86195625fffffff,2018-08-01T04:00:00,3.648,0.6884
86195625fffffff,2018-08-01T05:00:00,3.8085,0.561
86195625fffffff,2018-08-01T06:00:00,3.9905,0.4434
86195625fffffff,2018-08-01T07:00:00,4.1941,0.3366
86195625fffffff,2018-08-01T08:00:00,4.419,0.242
86195625fffffff,2018-08-01T09:00:00,4.6646,0.1615
86195625fffffff,2018-08-01T10:00:00,4.9301,0.0973
86195625fffffff,2018-08-01T11:00:00,5.2143,0.0521
86195625fffffff,2018-08-01T12:00:00,5.5156,0.0282
86195625fffffff,2018-08-01T13:00:00,5.832,0.0279
86195625fffffff,2018-08-01T14:00:00,6.1609,0.0531
86195625fffffff,2018-08-01T15:00:00,6.4996,0.1049
86195625fffffff,2018-08-01T16:00:00,6.8449,0.1841
86195625fffffff,2018-08-01T17:00:00,7.1932,0.2902
86195625fffffff,2018-08-01T18:00:00,7.541,0.4223
86195625fffffff,2018-08-01T19:00:00,7.8847,0.5784
86195625fffffff,2018-08-01T20:00:00,8.2209,0.756
86195625fffffff,2018-08-01T21:00:00,8.5462,0.9519
86195625fffffff,2018-08-01T22:00:00,8.8576,1.1628
86195625fffffff,2018-08-01T23:00:00,9.1524,1.3849
86195625fffffff,2018-08-02T00:00:00,9.4284,1.6148
86195625fffffff,2018-08-02T01:00:00,9.6832,1.8494
86195625fffffff,2018-08-02T02:00:00,9.9151,2.086
86195625fffffff,2018-08-02T03:00:00,10.1221,2.3225
86195625fffffff,2018-08-02T04:00:00,10.3025,2.5576
86195625fffffff,2018-08-02T05:00:00,10.4546,2.7907
86195625fffffff,2018-08-02T06:00:00,10.5766,3.0219
86195625fffffff,2018-08-02T07:00:00,10.6667,3.2518
86195625fffffff,2018-08-02T08:00:00,10.723,3.4814
86195625fffffff,2018-08-02T09:00:00,10.7437,3.7121
86195625fffffff,2018-08-02T10:00:00,10.7268,3.9449
86195625fffffff,2018-08-02T11:00:00,10.6707,4.1807
86195625fffffff,2018-08-02T12:00:00,10.5738,4.42
86195625fffffff,2018-08-02T13:00:00,10.4351,4.6621
86195625fffffff,2018-08-02T14:00:00,10.2537,4.9059
86195625fffffff,2018-08-02T15:00:00,10.0296,5.1489
86195625fffffff,2018-08-02T16:00:00,9.7635,5.3876
86195625fffffff,2018-08-02T17:00:00,9.457,5.6179
86195625fffffff,2018-08-02T18:00:00,9.1129,5.8345
86195625fffffff,2018-08-02T19:00:00,8.735,6.0318
86195625fffffff,2018-08-02T20:00:00,8.3283,6.2039
86195625fffffff,2018-08-02T21:00:00,7.8991,6.3454
86195625fffffff,2018-08-02T22:00:00,7.4544,6.4511
86195625fffffff,2018-08-02T23:00:00,7.0023,6.5169
86195625fffffff,2018-08-03T00:00:00,6.5509,6.54
86195625fffffff,2018-08-03T01:00:00,6.1085,6.5188
86195625fffffff,2018-08-03T02:00:00,5.6832,6.4532
86195625fffffff,2018-08-03T03:00:00,5.2819,6.3448
86195625fffffff,2018-08-03T04:00:00,4.9105,6.196
86195625fffffff,2018-08-03T05:00:00,4.5736,6.0106
86195625fffffff,2018-08-03T06:00:00,4.2741,5.793
86195625fffffff,2018-08-03T07:00:00,4.0132,5.548
86195625fffffff,2018-08-03T08:00:00,3.7907,5.2808
86195625fffffff,2018-08-03T09:00:00,3.6051,4.9963
86195625fffffff,2018-08-03T10:00:00,3.4535,4.6996
86195625fffffff,2018-08-03T11:00:00,3.3325,4.3951
86195625fffffff,2018-08-03T12:00:00,3.2383,4.0872
86195625fffffff,2018-08-03T13:00:00,3.1667,3.7799
86195625fffffff,2018-08-03T14:00:00,3.1141,3.4767
86195625fffffff,2018-08-03T15:00:00,3.0771,3.1808
86195625fffffff,2018-08-03T16:00:00,3.0534,2.895
86195625fffffff,2018-08-03T17:00:00,3.0411,2.6216
86195625fffffff,2018-08-03T18:00:00,3.0394,2.3624
86195625fffffff,2018-08-03T19:00:00,3.0485,2.1186
86195625fffffff,2018-08-03T20:00:00,3.0688,1.8907
86195625fffffff,2018-08-03T21:00:00,3.1018,1.6786
86195625fffffff,2018-08-03T22:00:00,3.1488,1.4818
86195625fffffff,2018-08-03T23:00:00,3.2115,1.2994
86195624fffffff,2018-08-01T00:00:00,4.7849,1.9541
86195624fffffff,2018-08-01T01:00:00,4.8984,1.6975
86195624fffffff,2018-08-01T02:00:00,5.0248,1.4545
86195624fffffff,2018-08-01T03:00:00,5.1653,1.2256
86195624fffffff,2018-08-01T04:00:00,5.3213,1.0115
86195624fffffff,2018-08-01T05:00:00,5.494,0.8131
86195624fffffff,2018-08-01T06:00:00,5.6843,0.6318
86195624fffffff,2018-08-01T07:00:00,5.8932,0.4693
86195624fffffff,2018-08-01T08:00:00,6.1211,0.3275
86195624fffffff,2018-08-01T09:00:00,6.3682,0.2086
86195624fffffff,2018-08-01T10:00:00,6.6343,0.1151
86195624fffffff,2018-08-01T11:00:00,6.9186,0.0494
86195624fffffff,2018-08-01T12:00:00,7.2199,0.0137
86195624fffffff,2018-08-01T13:00:00,7.5362,0.0097
86195624fffffff,2018-08-01T14:00:00,7.8653,0.039
86195624fffffff,2018-08-01T15:00:00,8.2041,0.102
86195624fffffff,2018-08-01T16:00:00,8.5493,0.1988
86195624fffffff,2018-08-01T17:00:00,8.8972,0.3281
86195624fffffff,2018-08-01T18:00:00,9.2442,0.4883
